#,Name,Current Price (USD),1h Volume,24h Volume,7d Volume,Market Cap (USD),Logo,Symbol,Description,Creation Date,Website,Source Code
36,Internet Computer,5.34,0.09,4.32,5.22,"2,851,480,933.64",https://s2.coinmarketcap.com/static/img/coins/64x64/8916.png,ICP,"Internet Computer (ICP) is a cryptocurrency launched in 2021. Internet Computer has a current supply of 533,569,712.32153335. The last known price of Internet Computer is 5.33501274 USD and is up 4.03 over the last 24 hours. It is currently trading on 333 active market(s) with $58,682,006.53 traded over the last 24 hours. More information can be found at https://internetcomputer.org/.",2021-03-23,https://internetcomputer.org/,https://github.com/dfinity/ic
37,Ethereum Classic,18.52,-0.38,1.97,3.27,"2,816,003,673.74",https://s2.coinmarketcap.com/static/img/coins/64x64/1321.png,ETC,"Ethereum Classic (ETC) is a cryptocurrency launched in 2015. Users are able to generate ETC through the process of mining. Ethereum Classic has a current supply of 210,700,000 with 152,065,266.590996 in circulation. The last known price of Ethereum Classic is 18.52115908 USD and is up 1.94 over the last 24 hours. It is currently trading on 628 active market(s) with $76,505,525.66 traded over the last 24 hours. More information can be found at https://ethereumclassic.org/.",2016-07-24,https://ethereumclassic.org/,https://github.com/ethereumclassic/ethereumclassic.github.io
38,Kaspa,0.11,-0.09,0.62,-0.27,"2,776,346,470.93",https://s2.coinmarketcap.com/static/img/coins/64x64/20396.png,KAS,"Kaspa (KAS) is a cryptocurrency launched in 2021. Users are able to generate KAS through the process of mining. Kaspa has a current supply of 26,224,875,784.28283. The last known price of Kaspa is 0.10580572 USD and is up 1.23 over the last 24 hours. It is currently trading on 184 active market(s) with $56,438,226.04 traded over the last 24 hours. More information can be found at https://www.kaspa.org.",2022-06-01,https://www.kaspa.org,https://github.com/kaspanet/rusty-kaspa
39,GateToken,21.21,0.01,0.13,-0.38,"2,606,473,206.16",https://s2.coinmarketcap.com/static/img/coins/64x64/4269.png,GT,"GateToken (GT) is a cryptocurrency launched in 2019and operates on the Ethereum platform. GateToken has a current supply of 133,600,000 with 122,910,588 in circulation. The last known price of GateToken is 21.20680596 USD and is up 0.08 over the last 24 hours. It is currently trading on 36 active market(s) with $10,634,300.50 traded over the last 24 hours. More information can be found at https://gatechain.io/.",2019-08-20,https://gatechain.io/,https://github.com/gatechain
40,Cronos,0.10,0.15,2.65,3.20,"2,579,555,570.62",https://s2.coinmarketcap.com/static/img/coins/64x64/3635.png,CRO,"Cronos (CRO) is a cryptocurrency . Cronos has a current supply of 97,543,210,869 with 26,571,560,696 in circulation. The last known price of Cronos is 0.09704683 USD and is up 2.59 over the last 24 hours. It is currently trading on 284 active market(s) with $19,853,660.47 traded over the last 24 hours. More information can be found at https://cronos.org/.",2018-12-14,https://cronos.org/,https://github.com/crypto-org-chain/
41,OFFICIAL TRUMP,12.73,0.03,0.55,0.28,"2,546,792,214.78",https://s2.coinmarketcap.com/static/img/coins/64x64/35336.png,TRUMP,"OFFICIAL TRUMP (TRUMP) is a cryptocurrency and operates on the Solana platform. OFFICIAL TRUMP has a current supply of 999,999,402.43953 with 199,999,378.275524 in circulation. The last known price of OFFICIAL TRUMP is 12.73291769 USD and is up 0.58 over the last 24 hours. It is currently trading on 584 active market(s) with $477,802,284.55 traded over the last 24 hours. More information can be found at https://gettrumpmemes.com/.",2025-01-18,https://gettrumpmemes.com/,N/A
42,Render,4.88,0.13,6.01,9.37,"2,528,247,663.49",https://s2.coinmarketcap.com/static/img/coins/64x64/5690.png,RENDER,"Render (RENDER) is a cryptocurrency launched in 2019and operates on the Ethereum platform. Render has a current supply of 532,476,763.33628262 with 517,716,590.05628262 in circulation. The last known price of Render is 4.88055897 USD and is up 5.87 over the last 24 hours. It is currently trading on 562 active market(s) with $74,154,454.07 traded over the last 24 hours. More information can be found at https://rendernetwork.com/.",2020-06-11,https://rendernetwork.com/,N/A
43,Mantle,0.74,0.22,-0.04,0.94,"2,476,951,217.63",https://s2.coinmarketcap.com/static/img/coins/64x64/27075.png,MNT,"Mantle (MNT) is a cryptocurrency launched in 2021and operates on the Ethereum platform. Mantle has a current supply of 6,219,316,794.99 with 3,364,694,382.8368406 in circulation. The last known price of Mantle is 0.73578549 USD and is down -0.11 over the last 24 hours. It is currently trading on 137 active market(s) with $136,643,187.85 traded over the last 24 hours. More information can be found at https://group.mantle.xyz/.",2023-07-17,https://group.mantle.xyz/,https://github.com/mantlenetworkio
44,POL (prev. MATIC),0.24,-0.35,2.35,2.87,"2,474,307,932.09",https://s2.coinmarketcap.com/static/img/coins/64x64/28321.png,POL,"POL (prev. MATIC) (POL) is a cryptocurrency and operates on the Ethereum platform. POL (prev. MATIC) has a current supply of 10,433,733,272.16659493. The last known price of POL (prev. MATIC) is 0.23697832 USD and is up 2.29 over the last 24 hours. It is currently trading on 534 active market(s) with $103,608,790.56 traded over the last 24 hours. More information can be found at https://polygon.technology/.",2023-10-30,https://polygon.technology/,https://github.com/maticnetwork/contracts
45,VeChain,0.03,0.02,3.58,1.91,"2,398,491,227.87",https://s2.coinmarketcap.com/static/img/coins/64x64/3077.png,VET,"VeChain (VET) is a cryptocurrency . VeChain has a current supply of 85,985,041,177. The last known price of VeChain is 0.02786434 USD and is up 3.31 over the last 24 hours. It is currently trading on 342 active market(s) with $47,235,436.92 traded over the last 24 hours. More information can be found at https://www.vechain.org/.",2017-08-22,https://www.vechain.org/,https://github.com/vechain
47,Artificial Superintelligence Alliance,0.93,2.06,12.72,28.22,"2,225,518,711.39",https://s2.coinmarketcap.com/static/img/coins/64x64/3773.png,FET,"Artificial Superintelligence Alliance (FET) is a cryptocurrency launched in 2018. Artificial Superintelligence Alliance has a current supply of 2,714,493,896.672 with 2,395,034,648.75122897 in circulation. The last known price of Artificial Superintelligence Alliance is 0.92684456 USD and is up 12.44 over the last 24 hours. It is currently trading on 468 active market(s) with $215,564,886.63 traded over the last 24 hours. More information can be found at https://superintelligence.io/.",2019-03-02,https://superintelligence.io/,https://github.com/fetchai
46,Ethena,0.38,-0.16,5.48,7.63,"2,228,090,140.16",https://s2.coinmarketcap.com/static/img/coins/64x64/30171.png,ENA,"Ethena (ENA) is a cryptocurrency and operates on the Ethereum platform. Ethena has a current supply of 15,000,000,000 with 5,820,312,500 in circulation. The last known price of Ethena is 0.38257049 USD and is up 5.18 over the last 24 hours. It is currently trading on 283 active market(s) with $191,141,658.53 traded over the last 24 hours. More information can be found at https://www.ethena.fi/.",2024-03-29,https://www.ethena.fi/,https://github.com/ethena-labs
48,World Liberty Financial USD,1.00,0.01,0.06,0.03,"2,152,831,858.81",https://s2.coinmarketcap.com/static/img/coins/64x64/36148.png,USD1,"World Liberty Financial USD (USD1) is a cryptocurrency and operates on the Ethereum platform. World Liberty Financial USD has a current supply of 2,151,591,831. The last known price of World Liberty Financial USD is 1.00060365 USD and is up 0.07 over the last 24 hours. It is currently trading on 85 active market(s) with $373,647,972.61 traded over the last 24 hours. More information can be found at https://www.worldlibertyfinancial.com/.",2025-04-13,https://www.worldlibertyfinancial.com/,https://github.com/worldliberty/usd1-smart-contracts
49,Worldcoin,1.37,-0.49,-0.70,24.10,"2,099,083,839.68",https://s2.coinmarketcap.com/static/img/coins/64x64/13502.png,WLD,"Worldcoin (WLD) is a cryptocurrency launched in 2023and operates on the Ethereum platform. Worldcoin has a current supply of 10,000,000,000 with 1,528,900,533.8482895 in circulation. The last known price of Worldcoin is 1.37178999 USD and is down -0.61 over the last 24 hours. It is currently trading on 429 active market(s) with $319,621,847.11 traded over the last 24 hours. More information can be found at https://worldcoin.org/.",2021-10-28,https://worldcoin.org/,https://github.com/worldcoin
50,Arbitrum,0.40,0.08,3.53,5.43,"1,940,861,549.20",https://s2.coinmarketcap.com/static/img/coins/64x64/11841.png,ARB,"Arbitrum (ARB) is a cryptocurrency launched in 2023and operates on the Arbitrum platform. Arbitrum has a current supply of 10,000,000,000 with 4,861,797,072 in circulation. The last known price of Arbitrum is 0.39945728 USD and is up 3.52 over the last 24 hours. It is currently trading on 1147 active market(s) with $135,605,570.58 traded over the last 24 hours. More information can be found at https://arbitrum.foundation.",2023-03-23,https://arbitrum.foundation,N/A
