#,Name,Current Price (USD),1h%,24h%,7d%,Market Cap (USD),Logo,Symbol,Description,Creation Date,Website,Source Code
24,Bitget Token,4.69,-0.06,-5.39,-15.38,"5,482,256,834.53",https://s2.coinmarketcap.com/static/img/coins/64x64/11092.png,BGB,"Bitget Token (BGB) is a cryptocurrency and operates on the Ethereum platform. Bitget Token has a current supply of 1,169,993,089.2. The last known price of Bitget Token is 4.68293887 USD and is down -5.40 over the last 24 hours. It is currently trading on 31 active market(s) with $227,205,665.68 traded over the last 24 hours. More information can be found at https://www.bitget.com/.",2021-07-29,https://www.bitget.com/,N/A
25,Ethena USDe,1.00,-0.01,0.05,-0.03,"5,376,546,788.66",https://s2.coinmarketcap.com/static/img/coins/64x64/29470.png,USDe,"Ethena USDe (USDe) is a cryptocurrency and operates on the Ethereum platform. Ethena USDe has a current supply of 5,374,943,324.22694368. The last known price of Ethena USDe is 1.00031841 USD and is up 0.06 over the last 24 hours. It is currently trading on 153 active market(s) with $158,733,631.54 traded over the last 24 hours. More information can be found at https://www.ethena.fi/.",2024-02-20,https://www.ethena.fi/,https://github.com/ethena-labs
26,Dai,1.00,0.00,-0.01,-0.01,"5,364,320,895.06",https://s2.coinmarketcap.com/static/img/coins/64x64/4943.png,DAI,"Dai (DAI) is a cryptocurrency and operates on the Ethereum platform. Dai has a current supply of 5,365,382,702.664872. The last known price of Dai is 0.99979636 USD and is down -0.01 over the last 24 hours. It is currently trading on 3521 active market(s) with $17,618,325,597.29 traded over the last 24 hours. More information can be found at https://makerdao.com/.",2019-11-22,https://makerdao.com/,N/A
27,Pepe,0.00,-0.90,-13.79,-20.16,"4,722,404,365.40",https://s2.coinmarketcap.com/static/img/coins/64x64/24478.png,PEPE,"Pepe (PEPE) is a cryptocurrency launched in 2023and operates on the Ethereum platform. Pepe has a current supply of 420,689,899,653,543.53949133. The last known price of Pepe is 0.0000112 USD and is down -14.08 over the last 24 hours. It is currently trading on 575 active market(s) with $1,561,932,009.02 traded over the last 24 hours. More information can be found at https://www.pepe.vip/.",2023-04-17,https://www.pepe.vip/,N/A
28,Pi,0.62,-0.19,-9.14,-20.42,"4,502,869,364.81",https://s2.coinmarketcap.com/static/img/coins/64x64/35697.png,PI,"Pi (PI) is a cryptocurrency launched in 2019. Pi has a current supply of 100,000,000,000 with 7,272,731,080.012567 in circulation. The last known price of Pi is 0.6170663 USD and is down -9.38 over the last 24 hours. It is currently trading on 57 active market(s) with $174,940,753.82 traded over the last 24 hours. More information can be found at https://minepi.com.",2025-02-11,https://minepi.com,https://github.com/orgs/pi-apps/
29,Aave,249.71,-0.20,-0.15,-5.82,"3,783,507,521.99",https://s2.coinmarketcap.com/static/img/coins/64x64/7278.png,AAVE,"Aave (AAVE) is a cryptocurrency and operates on the Ethereum platform. Aave has a current supply of 16,000,000 with 15,151,765.43149177 in circulation. The last known price of Aave is 249.4770612 USD and is down -0.24 over the last 24 hours. It is currently trading on 1088 active market(s) with $463,795,275.49 traded over the last 24 hours. More information can be found at https://aave.com/.",2020-10-02,https://aave.com/,https://github.com/aave
30,Uniswap,5.99,-0.81,-9.53,-3.53,"3,766,779,931.46",https://s2.coinmarketcap.com/static/img/coins/64x64/7083.png,UNI,"Uniswap (UNI) is a cryptocurrency launched in 2020and operates on the Ethereum platform. Uniswap has a current supply of 1,000,000,000 with 628,688,836.71 in circulation. The last known price of Uniswap is 5.99152559 USD and is down -9.18 over the last 24 hours. It is currently trading on 1240 active market(s) with $431,785,228.30 traded over the last 24 hours. More information can be found at https://uniswap.org/blog/uni/.",2020-09-17,https://uniswap.org/blog/uni/,N/A
31,Bittensor,399.61,-0.72,-2.20,-8.47,"3,499,588,138.78",https://s2.coinmarketcap.com/static/img/coins/64x64/22974.png,TAO,"Bittensor (TAO) is a cryptocurrency launched in 2021. Bittensor has a current supply of 8,757,487. The last known price of Bittensor is 399.92528469 USD and is down -2.04 over the last 24 hours. It is currently trading on 155 active market(s) with $232,745,422.59 traded over the last 24 hours. More information can be found at https://bittensor.com.",2023-03-06,https://bittensor.com,https://github.com/opentensor/BitTensor
32,OKB,50.29,-0.08,-1.79,-3.71,"3,017,363,146.89",https://s2.coinmarketcap.com/static/img/coins/64x64/3897.png,OKB,"OKB (OKB) is a cryptocurrency and operates on the Ethereum platform. OKB has a current supply of 300,000,000 with 60,000,000 in circulation. The last known price of OKB is 50.27750852 USD and is down -1.75 over the last 24 hours. It is currently trading on 141 active market(s) with $6,818,837.20 traded over the last 24 hours. More information can be found at https://www.okx.com/.",2019-04-30,https://www.okx.com/,N/A
33,Aptos,4.62,-1.17,-9.42,-14.82,"2,909,508,538.39",https://s2.coinmarketcap.com/static/img/coins/64x64/21794.png,APT,"Aptos (APT) is a cryptocurrency launched in 2022. Aptos has a current supply of 1,149,697,270.0010514 with 630,300,543.0851014 in circulation. The last known price of Aptos is 4.61485036 USD and is down -9.48 over the last 24 hours. It is currently trading on 512 active market(s) with $211,054,921.86 traded over the last 24 hours. More information can be found at https://aptosfoundation.org.",2022-10-19,https://aptosfoundation.org,https://github.com/aptos-labs
34,NEAR Protocol,2.38,-0.73,-9.66,-16.29,"2,902,704,687.69",https://s2.coinmarketcap.com/static/img/coins/64x64/6535.png,NEAR,"NEAR Protocol (NEAR) is a cryptocurrency launched in 2020. NEAR Protocol has a current supply of 1,252,917,044 with 1,219,743,312 in circulation. The last known price of NEAR Protocol is 2.37588211 USD and is down -9.79 over the last 24 hours. It is currently trading on 520 active market(s) with $259,967,788.57 traded over the last 24 hours. More information can be found at https://near.org/.",2020-08-11,https://near.org/,https://github.com/near
35,Cronos,0.10,-0.52,5.92,6.12,"2,736,817,098.03",https://s2.coinmarketcap.com/static/img/coins/64x64/3635.png,CRO,"Cronos (CRO) is a cryptocurrency . Cronos has a current supply of 97,543,210,869 with 26,571,560,696 in circulation. The last known price of Cronos is 0.10299716 USD and is up 5.91 over the last 24 hours. It is currently trading on 288 active market(s) with $111,616,910.57 traded over the last 24 hours. More information can be found at https://cronos.org/.",2018-12-14,https://cronos.org/,https://github.com/crypto-org-chain/
36,Ondo,0.81,-0.55,-7.33,-15.98,"2,550,645,232.63",https://s2.coinmarketcap.com/static/img/coins/64x64/21159.png,ONDO,"Ondo (ONDO) is a cryptocurrency launched in 2021and operates on the Ethereum platform. Ondo has a current supply of 10,000,000,000 with 3,159,107,529 in circulation. The last known price of Ondo is 0.80621478 USD and is down -7.39 over the last 24 hours. It is currently trading on 313 active market(s) with $186,302,886.91 traded over the last 24 hours. More information can be found at https://ondo.foundation/.",2024-01-18,https://ondo.foundation/,https://github.com/ondoprotocol
37,Ethereum Classic,16.75,-0.53,-5.18,-10.70,"2,547,557,207.85",https://s2.coinmarketcap.com/static/img/coins/64x64/1321.png,ETC,"Ethereum Classic (ETC) is a cryptocurrency launched in 2015. Users are able to generate ETC through the process of mining. Ethereum Classic has a current supply of 210,700,000 with 152,129,402.59210518 in circulation. The last known price of Ethereum Classic is 16.733368 USD and is down -5.20 over the last 24 hours. It is currently trading on 630 active market(s) with $106,146,559.41 traded over the last 24 hours. More information can be found at https://ethereumclassic.org/.",2016-07-24,https://ethereumclassic.org/,https://github.com/ethereumclassic/ethereumclassic.github.io
38,Internet Computer,4.72,-0.28,-7.40,-10.74,"2,520,860,096.15",https://s2.coinmarketcap.com/static/img/coins/64x64/8916.png,ICP,"Internet Computer (ICP) is a cryptocurrency launched in 2021. Internet Computer has a current supply of 533,664,176.55892328. The last known price of Internet Computer is 4.71592277 USD and is down -7.55 over the last 24 hours. It is currently trading on 336 active market(s) with $91,069,096.34 traded over the last 24 hours. More information can be found at https://internetcomputer.org/.",2021-03-23,https://internetcomputer.org/,https://github.com/dfinity/ic
39,GateToken,19.23,0.02,-3.61,-10.16,"2,362,973,114.65",https://s2.coinmarketcap.com/static/img/coins/64x64/4269.png,GT,"GateToken (GT) is a cryptocurrency launched in 2019and operates on the Ethereum platform. GateToken has a current supply of 133,600,000 with 122,910,588 in circulation. The last known price of GateToken is 19.21292062 USD and is down -3.64 over the last 24 hours. It is currently trading on 36 active market(s) with $13,766,194.00 traded over the last 24 hours. More information can be found at https://gatechain.io/.",2019-08-20,https://gatechain.io/,https://github.com/gatechain
